id,"title","link","district","bizcircle","tagList",onsale,"validdate"
1111000004310,"什坊院甲3号院","https://bj.lianjia.com/xiaoqu/1111000004310/","海淀","田村","",0,"2017-11-29 15:47:56"
1111027373682,"大慧寺6号院","https://bj.lianjia.com/xiaoqu/1111027373682/","海淀","白石桥","",2,"2017-11-29 15:39:42"
1111027373683,"东花市北里东区","https://bj.lianjia.com/xiaoqu/1111027373683/","东城","东花市","近地铁1号线王府井站",0,"2017-11-29 14:57:31"
1111027373684,"东花市北里西区","https://bj.lianjia.com/xiaoqu/1111027373684/","东城","东花市","近地铁7号线广渠门内站",7,"2017-11-29 14:56:56"
1111027373685,"东花市北里中区","https://bj.lianjia.com/xiaoqu/1111027373685/","东城","东花市","近地铁2号线朝阳门站",9,"2017-11-29 14:56:18"
1111027373686,"东恒时代二期","https://bj.lianjia.com/xiaoqu/1111027373686/","朝阳","四惠","近地铁1号线四惠站",23,"2017-11-29 13:57:04"
1111027373688,"东花市大街","https://bj.lianjia.com/xiaoqu/1111027373688/","东城","东花市","近地铁7号线广渠门内站",0,"2017-11-29 15:11:52"
1111027373689,"东花市大街2号院","https://bj.lianjia.com/xiaoqu/1111027373689/","东城","东花市","近地铁7号线广渠门内站",1,"2017-11-29 15:01:49"
1111027373690,"东恒时代三期","https://bj.lianjia.com/xiaoqu/1111027373690/","朝阳","十里堡","近地铁1号线四惠站",23,"2017-11-29 13:58:09"
1111027373691,"东恒时代一期","https://bj.lianjia.com/xiaoqu/1111027373691/","朝阳","四惠","近地铁1号线四惠站",9,"2017-11-29 13:59:37"
1111027373692,"大湖山庄","https://bj.lianjia.com/xiaoqu/1111027373692/","朝阳","中央别墅区","",0,"2017-11-29 14:17:48"
1111027373693,"东花厅胡同","https://bj.lianjia.com/xiaoqu/1111027373693/","东城","金宝街","近地铁5号线灯市口站",0,"2017-11-29 15:08:14"
1111027373694,"东湖湾二期","https://bj.lianjia.com/xiaoqu/1111027373694/","朝阳","望京","近地铁14号线(东段)东湖渠站",15,"2017-11-29 13:57:38"
1111027373695,"东湖湾一期","https://bj.lianjia.com/xiaoqu/1111027373695/","朝阳","望京","近地铁14号线(东段)东湖渠站",2,"2017-11-29 13:59:28"
1111027373696,"东会新村","https://bj.lianjia.com/xiaoqu/1111027373696/","朝阳","双桥","近地铁八通线管庄站",0,"2017-11-29 14:12:01"
1111027373697,"定慧西里","https://bj.lianjia.com/xiaoqu/1111027373697/","海淀","定慧寺","近地铁6号线海淀五路居站",7,"2017-11-29 15:23:41"
1111027373698,"东河沿","https://bj.lianjia.com/xiaoqu/1111027373698/","东城","崇文门","近地铁5号线崇文门站",0,"2017-11-29 15:03:26"
1111027373705,"大河庄苑","https://bj.lianjia.com/xiaoqu/1111027373705/","海淀","苏州桥","近地铁10号线苏州街站",10,"2017-11-29 15:23:25"
1111027373708,"电建北院","https://bj.lianjia.com/xiaoqu/1111027373708/","朝阳","定福庄","近地铁八通线传媒大学站",5,"2017-11-29 14:06:13"
1111027373709,"道家村","https://bj.lianjia.com/xiaoqu/1111027373709/","朝阳","甜水园","近地铁6号线金台路站",1,"2017-11-29 14:14:43"
